post_id,date,month,weekday,hour,topic,text,label,sentiment_score,followers,likes,retweets,comments,engagement_total
1,2025-01-27,1,0,19,Social,Can we talk about pension? progress,positive,0.4,2961,610,278,43,931
2,2025-02-20,2,3,20,Technology,Tesla is really exciting,positive,0.32,831,180,68,27,275
3,2025-02-09,2,6,18,Social,Just experienced housing - data!,neutral,-0.1,4005,290,117,21,428
4,2025-05-18,5,6,15,Technology,"5G today, and it was review",neutral,0.14,23064,1065,499,74,1638
5,2025-01-12,1,6,13,Finance,Can we talk about investment? loss,negative,-0.51,686,138,56,40,234
6,2025-04-01,4,1,8,Food,My thoughts on street food: amazing,positive,0.41,686,48,9,13,70
7,2025-03-11,3,1,16,Social,Anyone else think pension is progress?,positive,0.62,25807,7663,2728,1450,11841
8,2025-01-17,1,4,16,Finance,stocks is really portfolio,neutral,-0.06,5089,362,172,97,631
9,2025-03-05,3,2,19,Technology,Anyone else think internet is overpriced?,negative,-0.81,428,96,30,22,148
10,2025-01-13,1,0,19,Food,BBQ is really hidden gem,positive,0.65,3245,842,135,75,1052
11,2025-05-22,5,3,23,Social,"work-life today, and it was hopeful",positive,0.48,434,112,11,25,148
12,2025-04-27,4,6,22,Finance,Can we talk about stocks? portfolio,neutral,-0.04,432,4,1,0,5
13,2025-05-10,5,5,23,Finance,Just experienced economy - bearish!,negative,-0.41,1779,331,53,79,463
14,2025-01-29,1,2,15,Food,Just experienced dessert - location!,neutral,-0.01,23,6,2,1,9
15,2025-01-18,1,5,21,Technology,"Apple today, and it was amazing",positive,0.81,34,9,2,0,11
16,2025-05-19,5,0,18,Food,"dessert today, and it was fresh",positive,0.98,356,81,30,18,129
17,2025-02-27,2,3,13,Food,My thoughts on dessert: not fresh,negative,-0.92,144,4,0,0,4
18,2025-03-26,3,2,12,Technology,Just experienced AI - review!,neutral,0.24,2055,62,12,13,87
19,2025-04-15,4,1,19,Social,"work-life today, and it was analysis",neutral,0.17,178,11,1,1,13
20,2025-03-28,3,4,23,Entertainment,Just experienced Disney - release!,neutral,-0.26,65,15,2,1,18
21,2025-01-20,1,0,7,Entertainment,Can we talk about anime? boring,negative,-0.39,20564,2848,1266,534,4648
22,2025-05-05,5,0,11,Social,Just experienced education - unfair!,negative,-0.88,698,104,46,28,178
23,2025-06-28,6,5,21,Entertainment,Can we talk about Netflix? box office,neutral,-0.13,1255,360,179,68,607
24,2025-03-22,3,5,22,Technology,Just experienced robot - leading!,positive,0.68,63,1,0,0,1
25,2025-06-22,6,6,13,Technology,Just experienced Xiaomi - review!,neutral,0.06,369,95,24,27,146
26,2025-03-22,3,5,13,Social,Just experienced inflation - hopeful!,positive,0.7,1369,384,69,87,540
27,2025-01-19,1,6,9,Entertainment,Anyone else think game is must-watch?,positive,0.52,109,1,0,0,1
28,2025-03-04,3,1,15,Technology,Can we talk about Xiaomi? innovative,positive,0.92,2324,272,44,70,386
29,2025-06-19,6,3,9,Social,Anyone else think health is survey?,neutral,-0.12,329,13,5,1,19
30,2025-02-22,2,5,14,Finance,Can we talk about investment? rally,positive,0.8,611,127,56,22,205
31,2025-01-12,1,6,14,Food,Just experienced street food - wait time!,neutral,0.2,329,3,1,0,4
32,2025-01-20,1,0,7,Technology,Anyone else think phone is overhyped?,negative,-0.99,44558,12657,4764,1104,18525
33,2025-04-04,4,4,17,Finance,crypto is really loss,negative,-0.97,1067,288,120,76,484
34,2025-04-15,4,1,13,Technology,Just experienced chip - exciting!,positive,0.92,132,38,15,10,63
35,2025-03-27,3,3,13,Food,coffee is really menu,neutral,-0.19,5682,1346,356,292,1994
36,2025-02-26,2,2,13,Entertainment,Just experienced anime - release!,neutral,0.22,95,6,2,0,8
37,2025-03-13,3,3,23,Technology,My thoughts on chip: launch,neutral,0.22,1665,186,56,40,282
38,2025-03-09,3,6,16,Entertainment,Can we talk about concert? incredible,positive,0.97,21,0,0,0,0
39,2025-01-12,1,6,23,Entertainment,Just experienced anime - premiere!,neutral,-0.19,76,16,1,4,21
40,2025-06-20,6,4,9,Social,Anyone else think pension is report?,neutral,-0.04,1625,450,157,97,704
41,2025-06-28,6,5,18,Finance,Can we talk about economy? breakthrough,positive,0.53,4802,459,69,71,599
42,2025-01-01,1,2,16,Social,"environment today, and it was data",neutral,0.03,1544,151,27,37,215
43,2025-02-13,2,3,16,Entertainment,Marvel is really disappointing,negative,-0.44,870,174,37,37,248
44,2025-02-20,2,3,8,Technology,blockchain is really launch,neutral,-0.17,600,31,3,9,43
45,2025-03-04,3,1,9,Entertainment,"concert today, and it was box office",neutral,-0.0,56,2,0,0,2
46,2025-03-05,3,2,20,Finance,Anyone else think investment is breakthrough?,positive,0.34,259,71,10,5,86
47,2025-05-10,5,5,11,Social,"transport today, and it was data",neutral,0.07,436,58,26,9,93
48,2025-05-14,5,2,15,Finance,Can we talk about funds? bearish,negative,-0.46,9083,1367,267,218,1852
49,2025-04-09,4,2,19,Technology,"Apple today, and it was great",positive,0.41,2180,460,175,30,665
50,2025-05-30,5,4,18,Entertainment,Just experienced concert - disappointing!,negative,-0.73,32,9,0,2,11
51,2025-04-18,4,4,13,Entertainment,Can we talk about Netflix? box office,neutral,0.21,2096,348,137,86,571
52,2025-06-23,6,0,10,Entertainment,My thoughts on movie: must-watch,positive,0.54,507,122,47,31,200
53,2025-04-20,4,6,18,Food,My thoughts on dessert: overpriced,negative,-0.94,283,13,3,0,16
54,2025-04-18,4,4,23,Entertainment,Can we talk about Netflix? disappointing,negative,-0.81,3726,309,41,16,366
55,2025-06-16,6,0,6,Technology,blockchain is really review,neutral,0.17,8621,186,20,20,226
56,2025-04-30,4,2,9,Social,My thoughts on education: hopeful,positive,0.96,7062,1503,611,138,2252
57,2025-03-21,3,4,12,Finance,Can we talk about stocks? wealth,positive,0.32,204,36,16,5,57
58,2025-03-19,3,2,7,Technology,Anyone else think AI is review?,neutral,0.12,590,151,51,12,214
59,2025-04-18,4,4,20,Entertainment,Can we talk about movie? waste of time,negative,-0.99,2127,528,75,153,756
60,2025-05-18,5,6,14,Finance,Anyone else think investment is bearish?,negative,-0.57,7716,1810,517,464,2791
61,2025-04-29,4,1,21,Entertainment,Just experienced game - must-watch!,positive,0.47,420,73,26,9,108
62,2025-06-02,6,0,12,Food,boba tea is really amazing,positive,0.54,756,161,33,8,202
63,2025-06-15,6,6,15,Technology,My thoughts on Tesla: specs,neutral,0.11,119,25,6,1,32
64,2025-05-22,5,3,16,Technology,Can we talk about blockchain? update,neutral,-0.08,100,16,4,3,23
65,2025-02-19,2,2,11,Entertainment,Can we talk about game? boring,negative,-0.92,5569,565,224,162,951
66,2025-05-15,5,3,15,Technology,Can we talk about GPT? update,neutral,0.29,16522,3024,1488,780,5292
67,2025-01-12,1,6,10,Technology,Just experienced GPT - exciting!,positive,0.39,949,277,89,62,428
68,2025-05-03,5,5,21,Social,Just experienced health - survey!,neutral,-0.13,8160,1123,195,70,1388
69,2025-01-14,1,1,8,Technology,My thoughts on Apple: exciting,positive,0.74,2260,122,51,35,208
70,2025-02-27,2,3,15,Food,My thoughts on dessert: hidden gem,positive,0.85,301,70,17,19,106
71,2025-01-26,1,6,8,Food,Can we talk about dessert? review,neutral,-0.26,2259,643,117,66,826
72,2025-06-26,6,3,15,Technology,Just experienced Xiaomi - amazing!,positive,0.59,23767,4330,937,467,5734
73,2025-06-10,6,1,9,Finance,Anyone else think funds is bearish?,negative,-0.45,1020,184,77,18,279
74,2025-03-20,3,3,20,Social,Can we talk about housing? stressful,negative,-0.96,25066,4576,1966,1282,7824
75,2025-05-07,5,2,16,Technology,Anyone else think phone is launch?,neutral,0.0,5,0,0,0,0
76,2025-02-14,2,4,11,Social,health is really support,positive,0.7,5674,830,299,231,1360
77,2025-03-27,3,3,19,Food,My thoughts on hotpot: not fresh,negative,-0.76,1305,134,19,12,165
78,2025-03-06,3,3,22,Social,My thoughts on health: positive,positive,0.36,603,62,30,9,101
79,2025-05-13,5,1,7,Finance,"crypto today, and it was breakthrough",positive,0.34,1317,151,60,31,242
80,2025-06-11,6,2,23,Technology,Can we talk about internet? poor quality,negative,-0.92,20,3,0,0,3
81,2025-06-15,6,6,22,Technology,Apple is really poor quality,negative,-0.34,706,177,52,40,269
82,2025-02-07,2,4,10,Finance,My thoughts on crypto: loss,negative,-0.68,2239,271,127,47,445
83,2025-01-01,1,2,21,Food,My thoughts on boba tea: hidden gem,positive,0.49,21073,1939,425,381,2745
84,2025-05-20,5,1,13,Food,My thoughts on boba tea: disappointing,negative,-0.61,388,46,21,12,79
85,2025-06-30,6,0,10,Social,My thoughts on health: support,positive,0.82,217,59,14,17,90
86,2025-04-23,4,2,10,Entertainment,"Marvel today, and it was masterpiece",positive,0.91,402,15,6,0,21
87,2025-03-09,3,6,16,Entertainment,movie is really box office,neutral,0.17,6841,740,279,157,1176
88,2025-01-10,1,4,15,Food,My thoughts on boba tea: wait time,neutral,0.22,2116,400,77,88,565
89,2025-06-27,6,4,7,Food,My thoughts on hotpot: menu,neutral,-0.03,380,36,4,4,44
90,2025-06-24,6,1,18,Entertainment,concert is really incredible,positive,0.59,3061,734,123,51,908
91,2025-03-07,3,4,20,Social,"housing today, and it was progress",positive,0.62,1331,190,69,52,311
92,2025-05-31,5,5,20,Food,hotpot is really wait time,neutral,0.27,7610,736,356,163,1255
93,2025-05-27,5,1,6,Finance,My thoughts on crypto: profit,positive,0.47,269,30,6,6,42
